version_group_id,language_id,move_id,name,description
24,1,4,れんぞくパンチ,どとうのパンチで\n相手をなぐりつけて攻撃する。\n５回連続でパンチをくりだす。
24,1,6,ネコにこばん,相手の体に\n小判を投げつけて攻撃する。\n相手に当たるとお金がもらえる。
24,1,7,ほのおのパンチ,炎をこめたパンチで攻撃して\n相手をやけど状態にすることもある。
24,1,8,れいとうパンチ,冷気をこめたパンチで攻撃して\n相手をこおり状態にすることもある。
24,1,9,かみなりパンチ,電撃をこめたパンチで攻撃して\n相手をまひ状態にすることもある。
24,1,13,かまいたち,たくさんの風の刃をつくり相手を攻撃。\n急所に当たりやすい。\n攻撃するまで時間がかかる。
24,1,14,つるぎのまい,戦いの舞を激しく踊って\nしばらくのあいだ自分の攻撃を上げる。
24,1,16,かぜおこし,翼でおこした激しい風を\n相手にぶつけて攻撃する。
24,1,17,つばさでうつ,大きくひろげた　りっぱな翼を\n相手にぶつけて攻撃する。
24,1,18,ふきとばし,強い風を起こして\n相手を後ろに大きくふきとばす。
24,1,19,そらをとぶ,空へ飛び上がって姿を消し\n少ししてから相手をめがけて攻撃する。
24,1,22,つるのムチ,ムチのようにしなる細長いつるで\n相手をたたきつけて攻撃する。
24,1,29,ずつき,頭を突き出して\nまっすぐつっこんで攻撃する。\n相手をひるませることもある。
24,1,33,たいあたり,相手にむかって\n全身でぶつかっていき攻撃する。
24,1,34,のしかかり,全身で相手にのしかかり攻撃する。\n相手をまひ状態にすることもある。
24,1,36,とっしん,すごい勢いで相手にぶつかって攻撃する。\n自分もダメージを受ける。
24,1,38,すてみタックル,命を懸けて\n相手に突進して攻撃する。\n自分もダメージを受ける。
24,1,39,しっぽをふる,しっぽを左右にかわいく振って油断を誘う。\n少しのあいだ相手の防御を下げる。
24,1,40,どくばり,毒のあるハリを\n突き刺して攻撃する。\n相手を毒状態にすることもある。
24,1,42,ミサイルばり,鋭いハリを\n５回連続で発射して攻撃する。
24,1,43,にらみつける,鋭い目つきでおびえさせて\n少しのあいだ相手の防御を下げる。
24,1,44,かみつく,鋭くとがった歯で\nかみついて攻撃する。\n相手をひるませることもある。
